"CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","MEDV"
0.0137816303674907,0,0.281524926686217,0,0.314814814814815,0.494539183751677,0.914521112255407,0.258918422464513,0.130434782608696,0.229007633587786,0.893617021276596,1,0.468818984547461,0.226666666666667
0.0151556908922435,0,0.281524926686217,0,0.314814814814815,0.481126652615444,1,0.276932590093572,0.130434782608696,0.229007633587786,0.893617021276596,0.949140148267689,0.312086092715232,0.211111111111111
0.00983400224885096,0,0.785557184750733,0,0.491769547325103,0.397777351983139,0.945417095777549,0.0773217906864662,0.130434782608696,0.477099236641221,0.914893617021276,1,0.458333333333333,0.206666666666667
0.0125914522982385,0,0.700879765395894,1,1,0.278022609695344,0.876416065911432,0.0437032254544463,0.173913043478261,0.412213740458015,0.223404255319149,0.864793988602552,0.286699779249448,0.228888888888889
0.00277891798887444,0,0.346041055718475,0,0.327160493827161,0.410806667944051,0.770339855818744,0.256017604961398,0.130434782608696,0.223282442748092,0.617021276595745,0.9987896515205,0.269591611479029,0.248888888888889
0.274109395224541,0,0.646627565982405,0,0.648148148148148,0.209043878137574,1,0.0306995607853122,1,0.91412213740458,0.808510638297872,1,0.732615894039735,0.122222222222222
0.763342380589925,0,0.646627565982405,0,0.633744855967078,0.40659130101552,1,0.0268984895743346,1,0.91412213740458,0.808510638297872,0.969917797165767,0.586368653421633,0
0.232774057917129,0,0.646627565982405,0,0.563786008230453,0.110557578080092,1,0.00441033382134965,1,0.91412213740458,0.808510638297872,0.932724797014474,0.596302428256071,0.153333333333333
0.0831469031991501,0,0.646627565982405,0,0.436213991769547,0.393945200229929,0.978372811534501,0.0295628768107376,1,0.91412213740458,0.808510638297872,0.792576529325735,0.680739514348786,0.271111111111111
0.121702760529743,0,0.646627565982405,0,0.604938271604938,0.617168039854378,0.905252317198764,0.0627358619247242,1,0.91412213740458,0.808510638297872,0.0535831358111856,0.663907284768212,0.0555555555555556
0.16201527977783,0,0.646627565982405,0,0.730452674897119,0.555662004215367,0.930998970133883,0.0793860087842938,1,0.91412213740458,0.808510638297872,0.0685107670583489,0.450331125827815,0.102222222222222
0.0524054882393907,0,0.646627565982405,0,0.674897119341564,0.462732324200038,0.875386199794027,0.131946275768626,1,0.91412213740458,0.808510638297872,0.0256190428160775,0.47682119205298,0.171111111111111
0.11494541748286,0,0.646627565982405,0,0.47119341563786,0.502778310021077,0.966014418125644,0.0946539479307805,1,0.91412213740458,0.808510638297872,0.956629179484593,0.449779249448124,0.213333333333333
0.00192773104785575,0,0.338343108504399,0,0.411522633744856,0.384748036022227,0.727085478887745,0.115514372232175,0.217391304347826,0.389312977099237,0.702127659574468,0.997150637954511,0.3689293598234,0.277777777777778
0.000461841692941476,0,0.420454545454545,0,0.386831275720165,0.473079133933704,0.80226570545829,0.125071611090398,0,0.16412213740458,0.893617021276596,1,0.169701986754967,0.153333333333333
0.000650220051999621,0,0.201612903225806,0,0.234567901234568,0.454493197930638,0.672502574665294,0.202848075366694,0.173913043478261,0.175572519083969,0.702127659574468,1,0.219370860927152,0.308888888888889
0.00239912653585685,0,0.236436950146628,0,0.12962962962963,0.391071086415022,0.6086508753862,0.450863425147087,0.0869565217391304,0.0877862595419847,0.563829787234042,1,0.399282560706402,0.32
0.00185321144639062,0,0.29692082111437,0,0.277777777777778,0.435907261927572,0.916580844490216,0.0983368040084024,0.173913043478261,0.375954198473282,0.882978723404255,0.996898482021282,0.467163355408388,0.322222222222222
