"ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","target"
"0.766990291262136","0.0911330049261084","0.0306122448979592","0.0943877551020408","0.193181818181818","0.321428571428571","0.321428571428571","1","0.0217391304347826","0.888888888888889","0.150442477876106","0.392857142857143","0.201834862385321","0.303030303030303","0.146666666666667","0.146666666666667","0.174273858921162","0.00208333333333333","0.341463414634146","0.3125","0.407407407407407","0.770642201834862",0
"0.815533980582524","0.481527093596059","0.125","0.336734693877551","0.25","0.321428571428571","0.321428571428571","0.926605504587156","0.358695652173913","0.833333333333333","0.194690265486726","0.321428571428571","0.155963302752294","0.0303030303030303","0.12","0.12","0.16597510373444","0.00208333333333333","0.317073170731707","0.03125","0.37037037037037","0.697247706422018",0
"0.951456310679612","0.130541871921182","0.270408163265306","0.270408163265306","0.113636363636364","0.321428571428571","0.321428571428571","1","0.0217391304347826","0.888888888888889","0.0884955752212389","0.321428571428571","0.0825688073394495","0.0303030303030303","0.12","0.12","0.045643153526971","0.00208333333333333","0.24390243902439","0.03125","0.333333333333333","1",0
"0.669902912621359","0.199507389162562","0.0306122448979592","0.206632653061224","0.261363636363636","0.357142857142857","0.357142857142857","0.596330275229358","0.184782608695652","0.722222222222222","0.221238938053097","0.357142857142857","0.36697247706422","0.515151515151515","0.12","0.12","0.174273858921162","0.00208333333333333","0.317073170731707","0.3125","0.407407407407407","0.73394495412844",0
"0.737864077669903","0.283251231527094","0.0459183673469388","0.193877551020408","0.431818181818182","0.357142857142857","0.357142857142857","0.972477064220184","0.673913043478261","0.833333333333333","0.353982300884956","0.392857142857143","0.330275229357798","0.545454545454545","0.12","0.12","0.236514522821577","0.0854166666666667","0.463414634146341","0.34375","0.444444444444444","0.825688073394495",0
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0.766990291262136","0.395320197044335","0.0331632653061225","0.318877551020408","0.397727272727273","0.321428571428571","0.321428571428571","0.825688073394495","0.391304347826087","0.833333333333333","0.309734513274336","0.428571428571429","0.192660550458716","0.272727272727273","0.12","0.12","0.240663900414938","0.00208333333333333","0.48780487804878","0.03125","0.407407407407407","0.770642201834862",0
"0.728155339805825","0.299261083743842","0.0331632653061225","0.198979591836735","0.715909090909091","0.392857142857143","0.357142857142857","0.981651376146789","0.75","0.833333333333333","0.610619469026549","0.464285714285714","0.311926605504587","0.272727272727273","0.146666666666667","0.146666666666667","0.116182572614108","0.147916666666667","0.365853658536585","0.40625","0.333333333333333","0.605504587155963",0
"0.689320388349515","0.348522167487685","0.0510204081632653","0.290816326530612","0.522727272727273","0.321428571428571","0.321428571428571","0.880733944954128","0.239130434782609","0.833333333333333","0.424778761061947","0.357142857142857","0.220183486238532","0.0606060606060606","0.133333333333333","0.133333333333333","0.253112033195021","0.0520833333333333","0.560975609756098","0.375","0.407407407407407","0.844036697247706",0
"0.70873786407767","0.119458128078818","0.0357142857142857","0.135204081632653","0.284090909090909","0.357142857142857","0.357142857142857","0.844036697247706","0.217391304347826","0.5","0.238938053097345","0.392857142857143","0.486238532110092","0.272727272727273","0.12","0.12","0.215767634854772","0.15","0.292682926829268","0.34375","0.333333333333333","0.596330275229358",0
