"V1","V2","V3","V4","target"
"0.027027027027027","0.387755102040816","0.387755102040816","0.447916666666667",2
"0.0675675675675676","0.918367346938776","0.918367346938776","1",2
"0.027027027027027","0.306122448979592","0.306122448979592","0.645833333333333",1
"0.027027027027027","0.224489795918367","0.224489795918367","0.46875",2
"0.027027027027027","0.0816326530612245","0.0816326530612245","0.145833333333333",1
"0.027027027027027","0.0204081632653061","0.0204081632653061","0",1
"0.0405405405405405","0.306122448979592","0.306122448979592","0.75",1
"0.0135135135135135","0.163265306122449","0.163265306122449","0.510416666666667",1
"0.0540540540540541","0.102040816326531","0.102040816326531","0.21875",2
"0.027027027027027","0.102040816326531","0.102040816326531","0.270833333333333",2
"0.0540540540540541","0.0204081632653061","0.0204081632653061","0.0208333333333333",1
"0.027027027027027","0.244897959183673","0.244897959183673","0.770833333333333",2
"0.0405405405405405","0.0816326530612245","0.0816326530612245","0.25",1
"0.0540540540540541","0.142857142857143","0.142857142857143","0.395833333333333",2
"0.0540540540540541","0.0816326530612245","0.0816326530612245","0.25",2
"0.027027027027027","0.0408163265306122","0.0408163265306122","0.177083333333333",1
"0.027027027027027","0.224489795918367","0.224489795918367","1",1
"0.027027027027027","0","0","0",1
"0.027027027027027","0","0","0",1
"0.027027027027027","0","0","0",1
"0.027027027027027","0","0","0",2
"0.027027027027027","0","0","0",2
"0.027027027027027","0","0","0",1
"0.0540540540540541","0.0816326530612245","0.0816326530612245","0.322916666666667",2
"0.0540540540540541","0.122448979591837","0.122448979591837","0.520833333333333",1
"0.0540540540540541","0.102040816326531","0.102040816326531","0.520833333333333",1
"0.148648648648649","0.163265306122449","0.163265306122449","0.375",1
"0.027027027027027","0.0204081632653061","0.0204081632653061","0.145833333333333",1
"0.148648648648649","0.122448979591837","0.122448979591837","0.364583333333333",1
"0.0540540540540541","0.0612244897959184","0.0612244897959184","0.40625",1
"0.148648648648649","0.142857142857143","0.142857142857143","0.479166666666667",1
"0.189189189189189","0.0204081632653061","0.0204081632653061","0.125",1
"0.189189189189189","0.0204081632653061","0.0204081632653061","0.125",1
"0.0540540540540541","0.0816326530612245","0.0816326530612245","0.75",1
"0.216216216216216","0.0612244897959184","0.0612244897959184","0.21875",1
"0.216216216216216","0.0408163265306122","0.0408163265306122","0.177083333333333",1
"0.189189189189189","0.142857142857143","0.142857142857143","0.5",2
"0.189189189189189","0.306122448979592","0.306122448979592","1",1
"0.310810810810811","0.755102040816326","0.755102040816326","1",1
"0.148648648648649","0","0","0.09375",1
"0.216216216216216","0.0612244897959184","0.0612244897959184","0.270833333333333",1
"0.310810810810811","0.285714285714286","0.285714285714286","0.572916666666667",1
"0.121621621621622","0.0408163265306122","0.0408163265306122","0.520833333333333",1
"0.148648648648649","0.0612244897959184","0.0612244897959184","0.614583333333333",1
"0.189189189189189","0.0612244897959184","0.0612244897959184","0.572916666666667",1
"0.243243243243243","0.142857142857143","0.142857142857143","0.96875",1
"0.216216216216216","0.0408163265306122","0.0408163265306122","0.5",1
"0.283783783783784","0","0","0.197916666666667",1
"0.283783783783784","0","0","0.197916666666667",1
"0.283783783783784","0","0","0.197916666666667",1
"0.310810810810811","0","0","0.21875",1
"0.0540540540540541","0.244897959183673","0.244897959183673","0.385416666666667",2
"0.027027027027027","0.0612244897959184","0.0612244897959184","0.09375",1
"0.0675675675675676","0.469387755102041","0.469387755102041","0.802083333333333",1
"0.027027027027027","0.102040816326531","0.102040816326531","0.25",2
"0.0540540540540541","0.0612244897959184","0.0612244897959184","0.145833333333333",1
"0.027027027027027","0","0","0",2
"0.027027027027027","0.0408163265306122","0.0408163265306122","0.229166666666667",1
"0.189189189189189","0.142857142857143","0.142857142857143","0.25",1
"0.0540540540540541","0","0","0.0208333333333333",1
"0.0540540540540541","0.122448979591837","0.122448979591837","0.625",1
"0.189189189189189","0.122448979591837","0.122448979591837","0.34375",1
"0.148648648648649","0.0612244897959184","0.0612244897959184","0.260416666666667",1
"0.189189189189189","0.0612244897959184","0.0612244897959184","0.25",1
"0.189189189189189","0.0408163265306122","0.0408163265306122","0.197916666666667",1
"0.216216216216216","0.0408163265306122","0.0408163265306122","0.197916666666667",1
"0.148648648648649","0.142857142857143","0.142857142857143","0.729166666666667",1
"0.148648648648649","0","0","0.09375",1
"0.189189189189189","0.0408163265306122","0.0408163265306122","0.322916666666667",1
"0.216216216216216","0.122448979591837","0.122448979591837","0.645833333333333",1
"0.216216216216216","0.0612244897959184","0.0612244897959184","0.583333333333333",1
"0.216216216216216","0.0816326530612245","0.0816326530612245","0.71875",1
"0.283783783783784","0.0408163265306122","0.0408163265306122","0.34375",1
"0.337837837837838","0.102040816326531","0.102040816326531","0.5",1
"0.310810810810811","0.0408163265306122","0.0408163265306122","0.625",1
